,Number of Tricycles,Number of Sectors,Intersection Algorithm,Number of Passengers,Total Trips Completed,Completion Rate,Average Wait Time,Average Travel Time,Total Distance,Productive Distance,Efficiency Percentage
0,5,8,basic,599,309,51.58597662771286,1035.0064724919093,119.53398058252426,191.30733958116744,150.9477532373138,78.90327342787077
1,15,6,basic,558,386,69.17562724014337,557.9740932642487,123.78756476683938,569.350553473463,224.57180927312092,39.443504165064105
2,20,8,smart,557,437,78.45601436265709,347.94050343249427,127.03661327231121,758.312006442745,280.38052918170195,36.97429643728997
3,10,8,smart,563,400,71.04795737122558,665.845,122.255,381.3561305815013,217.4724220292751,57.026072112087924
4,20,4,smart,575,467,81.21739130434783,382.1070663811563,133.6680942184154,759.7894658775468,310.28803345693524,40.83868589814636
5,10,4,smart,564,396,70.2127659574468,587.5353535353536,127.88383838383838,381.0754462128851,219.03230043806246,57.47741099952728
6,15,8,smart,577,446,77.29636048526864,451.8856502242152,119.88340807174887,570.207269612229,254.5680672420727,44.644830188712326
7,15,6,basic,532,402,75.56390977443608,613.6666666666666,127.80845771144278,569.1613444199315,234.84994828448453,41.26245581977023
8,15,8,smart,567,464,81.83421516754849,468.7866379310345,124.67025862068965,570.452156073485,267.6887896543775,46.92572143068457
9,20,4,basic,577,451,78.16291161178509,362.52993348115297,126.87583148558758,758.8525069653682,279.09214148965066,36.778180071610095
10,20,8,smart,590,481,81.52542372881356,433.995841995842,126.25987525987526,759.1978209107881,298.5285522095218,39.32157653605823
11,5,4,basic,559,276,49.37388193202147,913.7789855072464,121.58333333333333,191.3927162206822,141.43473634267323,73.8976587696233
12,15,4,basic,536,427,79.66417910447761,534.1850117096019,130.5152224824356,570.3325197422513,257.1736528623691,45.09187955450846
13,10,6,basic,565,358,63.36283185840708,710.1536312849162,119.03351955307262,380.83292278918384,195.16571774436187,51.2470708453951
14,10,6,basic,535,365,68.22429906542055,642.9890410958905,118.98082191780821,380.81443114342824,203.59112553533353,53.4620300297007
15,10,8,basic,557,364,65.35008976660683,545.0494505494505,116.08516483516483,380.7653855969224,205.1285842449888,53.87269746786741
16,5,4,smart,559,280,50.089445438282645,1035.392857142857,123.67857142857143,191.72639722254198,144.59373702023004,75.4167079311443
17,5,6,basic,585,294,50.256410256410255,1052.5272108843537,123.36734693877551,191.09586342664505,139.53558116915138,73.01862984737718
18,20,8,smart,497,428,86.11670020120724,322.00233644859816,128.56542056074767,758.4639044018154,270.7705271274539,35.69985671777023
19,15,6,basic,541,399,73.75231053604436,454.859649122807,119.56641604010025,569.7600501770055,234.5523917300367,41.16687220474112
20,10,4,basic,541,353,65.24953789279112,583.9773371104816,123.25495750708215,380.7700661684376,200.92246094735108,52.767399225776046
21,20,8,smart,569,492,86.46748681898066,323.390243902439,122.85365853658537,758.5933372106233,291.7168479202127,38.45497101159188
22,10,4,smart,551,362,65.69872958257713,568.560773480663,122.7513812154696,381.4055813336736,208.56878551435037,54.684251023553706
23,20,6,smart,542,447,82.47232472324724,413.09843400447426,132.3288590604027,758.2357336926743,280.1008958587667,36.941136300006704
24,20,6,smart,527,433,82.16318785578748,335.7990762124711,130.5080831408776,759.2956483321046,284.6009823537704,37.48223540842554
25,5,4,smart,555,290,52.25225225225225,1012.4413793103448,120.95172413793104,191.30116962558125,140.2305714811627,73.30356199892817
