,Number of Tricycles,Number of Sectors,Intersection Algorithm,Number of Passengers,Total Trips Completed,Completion Rate,Average Wait Time,Average Travel Time,Total Distance,Productive Distance,Efficiency Percentage
0,10,4,smart,556,400,71.94244604316546,647.8475,132.1925,381.960212327299,234.97667195195908,61.518625335407776
1,10,8,basic,558,363,65.05376344086021,583.6225895316804,118.67768595041322,381.2028376741099,205.519782296358,53.91349748347276
2,10,8,smart,558,390,69.89247311827957,538.6769230769231,119.44615384615385,381.21706414342873,214.56312788221882,56.283715516336855
3,10,4,smart,558,358,64.15770609318996,573.7011173184358,128.3072625698324,381.31114132215254,209.1244499658152,54.84351945256575
4,20,4,smart,556,481,86.51079136690647,341.4553014553015,132.68191268191268,759.6967436166592,309.3421646296636,40.71916422294905
5,20,6,basic,547,446,81.53564899451554,378.7354260089686,125.43273542600897,758.3161930254049,272.34400159500683,35.91430647266725
6,15,6,basic,542,423,78.04428044280442,432.11583924349884,121.00236406619385,569.714027584845,237.92136679417234,41.76154268182203
7,20,6,basic,542,429,79.15129151291514,321.8484848484849,120.81351981351982,757.5374076588998,258.1466355575536,34.07708093984853
8,10,8,basic,558,385,68.99641577060932,547.5792207792208,121.10909090909091,381.11306927360175,215.83555722572785,56.63294560774538
9,20,4,basic,555,446,80.36036036036036,351.7152466367713,128.34977578475338,758.7353956237358,282.1604951341324,37.18826046097084
10,15,4,smart,556,448,80.57553956834532,491.16517857142856,127.95982142857143,571.4174196886074,276.4933121176647,48.38727392460997
11,5,8,smart,558,288,51.61290322580645,1076.84375,123.45833333333333,191.38836165792847,141.82483997583958,74.10316842009725
12,5,6,smart,546,265,48.53479853479853,1038.120754716981,133.61132075471698,191.14383130353997,133.3428621671075,69.76048416407254
13,20,4,basic,556,464,83.45323741007195,360.5560344827586,127.71336206896552,759.1305105475257,290.6357554989899,38.28534770514859
14,15,8,basic,562,429,76.33451957295374,412.13519813519815,115.97902097902097,569.875927041702,247.09150695382698,43.358825180861785
15,15,6,basic,547,407,74.40585009140767,473.95331695331697,128.34889434889436,569.6122268795954,242.74428499686456,42.61570829099774
16,10,6,smart,547,380,69.46983546617916,673.1605263157895,125.6842105263158,381.6732332727673,219.86604919764437,57.6058340042186
17,20,4,smart,555,466,83.96396396396396,329.912017167382,130.69957081545064,759.5409059823257,299.4007242943645,39.41864380656958
