,Number of Tricycles,Number of Sectors,Intersection Algorithm,Number of Passengers,Total Trips Completed,Completion Rate,Average Wait Time,Average Travel Time,Total Distance,Productive Distance,Efficiency Percentage
0,10,4,smart,556,400,71.94244604316546,647.8475,132.1925,381.960212327299,234.97667195195908,61.518625335407776
1,20,6,smart,547,455,83.18098720292505,342.84615384615387,123.85054945054945,758.7238755818378,273.2720069489377,36.0173201007251
2,10,4,basic,556,383,68.88489208633094,608.1827676240209,128.5639686684073,381.5405111918685,216.59207991095852,56.76778049973284
3,5,8,basic,561,289,51.515151515151516,820.076124567474,117.0553633217993,191.09017480133824,138.61414924104372,72.53860612412448
4,20,8,smart,563,465,82.59325044404974,362.4559139784946,125.53333333333333,758.778307220571,287.7797163286736,37.92671898895209
5,5,4,basic,558,269,48.2078853046595,1015.1598513011153,155.77695167286245,191.5204556761233,150.7372829066064,78.70557866754213
6,15,6,basic,544,410,75.36764705882352,403.1,121.77317073170731,569.1781758382654,237.63460128802964,41.75047663028363
7,20,6,basic,542,429,79.15129151291514,405.8508158508159,123.6969696969697,757.9322366228184,259.1936374767956,34.19746844806419
8,15,4,basic,561,431,76.8270944741533,466.1276102088167,131.80046403712296,570.9051945969949,267.73643692403624,46.89682971146073
9,5,6,smart,553,289,52.26039783001808,913.4844290657439,125.58131487889273,191.52121230681811,145.64546103488993,76.04664740820722
10,15,8,basic,559,425,76.02862254025044,438.1411764705882,115.83764705882353,569.2571282636294,240.4990357229995,42.24787425263855
11,15,8,smart,564,443,78.54609929078015,447.39503386004515,130.45146726862302,570.4773632042718,262.1777926858335,45.95761542810859
12,10,8,smart,561,397,70.76648841354724,646.2594458438288,116.02770780856423,380.9678252138322,210.73985084643394,55.31696823167375
13,20,6,smart,546,462,84.61538461538461,333.8939393939394,127.93290043290044,758.6975422249974,287.57395347714055,37.90363583277015
14,10,8,basic,565,391,69.20353982300885,569.4603580562659,119.98209718670077,380.85755426317775,209.6749668054277,55.05338267769777
15,10,8,basic,558,363,65.05376344086021,583.6225895316804,118.67768595041322,381.2028376741099,205.519782296358,53.91349748347276
16,10,8,smart,558,390,69.89247311827957,538.6769230769231,119.44615384615385,381.21706414342873,214.56312788221882,56.283715516336855
17,20,8,basic,557,441,79.17414721723519,357.8979591836735,118.5374149659864,757.6970514452611,263.8205686660317,34.81874030825512
18,10,6,smart,546,367,67.21611721611723,616.9264305177112,119.97820163487738,381.4432763959023,210.83574152244617,55.27315712955928
19,10,4,smart,558,358,64.15770609318996,573.7011173184358,128.3072625698324,381.31114132215254,209.1244499658152,54.84351945256575
20,20,4,smart,556,481,86.51079136690647,341.4553014553015,132.68191268191268,759.6967436166592,309.3421646296636,40.71916422294905
21,20,6,basic,547,446,81.53564899451554,378.7354260089686,125.43273542600897,758.3161930254049,272.34400159500683,35.91430647266725
22,15,8,basic,559,433,77.4597495527728,398.06466512702076,117.20785219399538,569.7347190390143,242.8428791797137,42.623851252969594
23,20,4,smart,557,480,86.17594254937163,403.33125,129.30625,759.7083390747772,306.8565717608916,40.391365472518274
24,15,6,basic,542,423,78.04428044280442,432.11583924349884,121.00236406619385,569.714027584845,237.92136679417234,41.76154268182203
25,10,4,smart,558,377,67.56272401433692,696.5066312997347,127.80106100795756,381.6844622231323,221.0317089730529,57.90953807384436
26,5,8,basic,564,267,47.340425531914896,813.2471910112359,123.08988764044943,191.38970256881606,138.8830845881695,72.56559925852474
27,10,4,basic,555,371,66.84684684684684,631.9730458221024,117.86253369272237,380.9321731797017,207.12141889793082,54.372256658988725
28,15,6,smart,539,417,77.36549165120594,423.06235011990407,128.35011990407673,570.2299149235212,258.63726732417985,45.3566641376344
29,5,4,basic,558,287,51.4336917562724,913.9895470383275,124.8048780487805,191.02098582596645,139.24326448611708,72.89422357655377
30,10,8,basic,561,378,67.37967914438502,544.7460317460317,115.39153439153439,380.8271409446268,206.83902943962937,54.3131009325053
31,10,4,basic,557,348,62.47755834829444,597.8908045977012,120.86206896551724,381.19223235602976,200.4887629413834,52.595185820609515
32,20,6,basic,542,429,79.15129151291514,321.8484848484849,120.81351981351982,757.5374076588998,258.1466355575536,34.07708093984853
33,10,8,basic,559,378,67.62075134168157,462.1216931216931,116.44708994708995,381.2701885356468,210.41065666631866,55.18675810307847
34,20,6,smart,548,447,81.56934306569343,352.2863534675615,122.49217002237137,758.4351842753467,267.7130524584582,35.29807925699636
35,10,8,basic,558,385,68.99641577060932,547.5792207792208,121.10909090909091,381.11306927360175,215.83555722572785,56.63294560774538
36,10,8,basic,559,378,67.62075134168157,526.0873015873016,118.71164021164022,381.24034498876574,212.28296105106207,55.682186799331944
37,10,6,smart,542,358,66.05166051660517,610.108938547486,117.1145251396648,380.9819586557938,201.21489695213467,52.814809830385315
38,20,4,basic,555,446,80.36036036036036,351.7152466367713,128.34977578475338,758.7353956237358,282.1604951341324,37.18826046097084
39,5,4,basic,554,272,49.09747292418773,1069.2904411764705,118.47058823529412,191.0298114706937,137.043678056724,71.73941962338594
40,5,4,basic,559,284,50.80500894454383,996.2535211267606,125.61267605633803,191.23835666511778,141.91310678892447,74.20744941739487
41,5,6,smart,543,257,47.32965009208103,987.1284046692607,130.31906614785993,191.42044689500375,135.56652703241141,70.82134078747146
42,15,8,smart,559,446,79.78533094812164,415.5829596412556,121.12107623318386,570.3222435991742,253.95252051900624,44.52790038774738
43,15,4,smart,556,448,80.57553956834532,491.16517857142856,127.95982142857143,571.4174196886074,276.4933121176647,48.38727392460997
44,10,6,smart,543,388,71.45488029465929,754.5747422680413,126.43041237113403,381.6048162599132,224.36436484995332,58.79495103047585
45,5,8,smart,559,264,47.227191413237925,933.2159090909091,118.12121212121212,191.30503699130514,138.95513883653084,72.63537908980743
46,20,8,smart,561,465,82.88770053475936,377.6322580645161,122.65591397849462,758.7115060730158,279.8523616328763,36.885213864931714
47,5,4,smart,562,282,50.177935943060504,983.1631205673759,127.20921985815603,191.59245746679167,145.6140680827515,76.001983589563
48,20,6,basic,541,445,82.2550831792976,376.4629213483146,127.58426966292134,757.9327270327673,273.4056511478003,36.07254857804555
49,20,8,basic,559,445,79.60644007155635,392.7370786516854,119.6494382022472,757.831474564827,259.6486875684027,34.262061722561995
50,5,8,smart,561,292,52.04991087344028,1102.2431506849316,119.16095890410959,191.39571172535383,144.66214157863823,75.58274962096505
51,10,6,basic,546,360,65.93406593406593,681.0388888888889,121.19444444444444,381.1218581740017,209.40694087247215,54.944878227600135
52,15,8,basic,566,434,76.67844522968198,412.0,120.75806451612904,569.2684863888566,250.82833962472083,44.06151853158875
53,15,6,smart,542,418,77.12177121771218,441.7248803827751,125.97368421052632,570.3161080060266,253.4159016931973,44.43428795641161
54,15,4,basic,556,415,74.64028776978418,431.1590361445783,127.89397590361446,569.7059769902257,248.52460381076304,43.62330989113476
55,20,4,smart,559,470,84.07871198568873,338.1127659574468,129.17659574468084,758.5287564288144,299.45237169568225,39.478051314167274
56,5,8,smart,558,288,51.61290322580645,1076.84375,123.45833333333333,191.38836165792847,141.82483997583958,74.10316842009725
57,15,4,basic,554,422,76.17328519855594,509.6469194312796,132.47156398104266,570.4650343910415,261.90642069371233,45.91103834668701
58,20,4,smart,558,458,82.07885304659499,366.646288209607,136.96724890829694,760.1115237713931,308.7578875408162,40.62007717089637
59,15,8,basic,557,398,71.45421903052065,352.2185929648241,119.54020100502512,569.36399714582,235.75984303732346,41.4075783188207
60,15,4,smart,556,449,80.75539568345323,464.3184855233853,130.29398663697106,570.8829371771134,273.709207121178,47.94489190281425
61,15,4,smart,554,423,76.3537906137184,516.371158392435,127.50354609929079,570.512443015662,256.99030911341623,45.04552218966435
62,5,6,smart,546,265,48.53479853479853,1038.120754716981,133.61132075471698,191.14383130353997,133.3428621671075,69.76048416407254
63,15,6,smart,548,415,75.72992700729927,501.67710843373493,122.42650602409638,569.5938179454243,237.6522373361008,41.72310686118989
64,5,4,basic,557,261,46.858168761220824,1021.2835249042146,118.86973180076629,191.42061044126996,141.04122701351474,73.68131712064925
65,5,6,smart,546,266,48.717948717948715,1107.5225563909773,129.75187969924812,191.23560791298004,135.44608015521064,70.82680973139902
66,10,6,basic,542,353,65.12915129151291,608.4249291784703,113.38810198300283,380.97645706181385,197.0326978888968,51.717814640952476
67,5,4,basic,560,262,46.785714285714285,1068.6603053435115,124.18702290076335,191.20492412488122,139.63098585572286,73.02687757378361
68,10,8,basic,556,376,67.62589928057554,585.0265957446809,119.17287234042553,380.84924012947135,203.62855550762515,53.46697171783794
69,5,8,basic,561,274,48.84135472370767,1035.9379562043796,120.26642335766424,190.91557500613408,137.85307525773217,72.20630126866443
70,20,4,basic,556,464,83.45323741007195,360.5560344827586,127.71336206896552,759.1305105475257,290.6357554989899,38.28534770514859
71,15,8,basic,562,429,76.33451957295374,412.13519813519815,115.97902097902097,569.875927041702,247.09150695382698,43.358825180861785
72,15,6,smart,542,412,76.01476014760148,532.8640776699029,125.58009708737865,570.4070756497036,248.46295729539403,43.558884155213256
73,15,6,basic,547,407,74.40585009140767,473.95331695331697,128.34889434889436,569.6122268795954,242.74428499686456,42.61570829099774
74,5,8,smart,562,284,50.5338078291815,901.0633802816901,119.73239436619718,191.2962243973569,140.772298534161,73.58864451069952
75,10,6,smart,547,380,69.46983546617916,673.1605263157895,125.6842105263158,381.6732332727673,219.86604919764437,57.6058340042186
76,10,6,smart,543,358,65.93001841620627,700.0279329608938,124.65083798882682,381.326695202265,210.95518845831606,55.32137957097923
77,15,6,basic,540,402,74.44444444444444,453.681592039801,125.03731343283582,570.0985206398315,235.3657941045802,41.2851087282993
78,10,6,smart,543,351,64.64088397790056,606.1367521367522,116.96581196581197,381.0358479680881,197.67145194748903,51.87738975258939
79,20,4,smart,555,466,83.96396396396396,329.912017167382,130.69957081545064,759.5409059823257,299.4007242943645,39.41864380656958
80,5,4,basic,559,285,50.98389982110913,975.9508771929825,122.40350877192982,191.45573580259773,143.02689477090894,74.70494115589109
81,10,8,smart,560,396,70.71428571428572,557.1515151515151,116.34343434343434,381.36174502287383,212.12186854543407,55.62221992998042
82,20,6,smart,549,446,81.23861566484517,317.63004484304935,129.31838565022423,759.12252812017,291.1852077550397,38.3581302054238
83,20,6,smart,546,438,80.21978021978022,336.27853881278537,127.91095890410959,758.432292477374,277.86450410915745,36.636692143148274
84,5,4,basic,562,278,49.46619217081851,922.5647482014389,125.41007194244604,191.48180872502618,143.92034101405966,75.16136492147604
85,15,8,basic,557,407,73.07001795332137,441.56511056511056,112.5036855036855,569.1854136119999,227.10110402400656,39.89931902556026
86,20,8,basic,559,451,80.67978533094812,343.0931263858093,128.99778270509978,757.6349153101656,280.35609984908507,37.0041155949513
87,15,6,smart,542,422,77.85977859778598,455.2962085308057,128.6990521327014,569.8572307274134,252.2569746636768,44.26669717635678
88,20,4,smart,555,458,82.52252252252252,311.88646288209605,130.56331877729258,759.2966159453653,293.35857193777815,38.63556952279195
89,20,8,basic,556,466,83.81294964028777,328.7703862660944,126.43991416309012,758.3482732240151,282.7801098215149,37.288950183708266
90,5,4,basic,555,270,48.64864864864865,1001.8296296296296,126.97777777777777,191.1810122068967,138.09887168159986,72.2346168625516
91,15,4,basic,556,411,73.92086330935251,405.05109489051097,122.91240875912409,569.8616845081473,246.73334388183153,43.29705796851201
92,20,6,basic,543,440,81.03130755064457,359.675,128.69545454545454,758.4814462728152,274.5267841656937,36.194264937490665
93,20,4,smart,563,477,84.7246891651865,330.6792452830189,133.51572327044025,760.0472328599942,305.0512444951629,40.13582726264006
94,10,4,basic,555,368,66.30630630630631,563.8233695652174,119.8070652173913,381.18776781618834,205.80959011767314,53.99165647333051
95,15,4,smart,554,417,75.27075812274369,458.56354916067147,126.10071942446044,571.0605346610416,256.8187864925926,44.97225266057474
96,15,8,smart,561,430,76.6488413547237,404.2093023255814,127.4860465116279,570.6075629812561,267.9174422818088,46.95301283460374
