,Number of Tricycles,Number of Sectors,Intersection Algorithm,Number of Passengers,Total Trips Completed,Completion Rate,Average Wait Time,Average Travel Time,Total Distance,Productive Distance,Efficiency Percentage,Seed
0,15,6,smart,571,426,74.6059544658494,503.4413145539906,125.61032863849765,570.4953976165755,254.85825984065573,44.67314914465682,460669441.0
1,5,8,basic,599,309,51.58597662771286,1035.0064724919093,119.53398058252426,191.30733958116744,150.9477532373138,78.90327342787077,852052273.0
2,5,6,basic,519,267,51.445086705202314,929.2771535580524,122.25842696629213,190.99683499948583,133.14236394077236,69.70919907711078,112043825.0
3,10,6,basic,549,345,62.841530054644814,640.0434782608696,122.05797101449275,380.27152052142316,191.5313711002249,50.36700377603868,720265055.0
4,15,6,basic,523,401,76.67304015296367,494.2942643391521,128.59351620947632,569.7715849056631,239.9265167419954,42.10924572198875,530467456.0
5,15,8,basic,565,432,76.46017699115045,513.8912037037037,126.29398148148148,570.5692386592577,263.1986413997053,46.12913272684978,460669441.0
6,5,8,smart,591,309,52.28426395939086,1083.1294498381876,120.5210355987055,191.51635633975545,150.10772746517972,78.37854183006925,433498721.0
7,15,6,smart,549,431,78.5063752276867,469.90719257540604,126.94663573085847,570.2194908887689,257.89604189679886,45.227503797674636,447450854.0
8,15,6,basic,558,386,69.17562724014337,557.9740932642487,123.78756476683938,569.350553473463,224.57180927312092,39.443504165064105,358368805.0
9,5,6,smart,541,256,47.31977818853974,972.00390625,130.6328125,191.64675939648657,139.81909347175645,72.95666981902525,878640559.0
10,20,8,smart,557,437,78.45601436265709,347.94050343249427,127.03661327231121,758.312006442745,280.38052918170195,36.97429643728997,187959148.0
11,10,8,smart,563,400,71.04795737122558,665.845,122.255,381.3561305815013,217.4724220292751,57.026072112087924,930593199.0
12,5,6,basic,577,276,47.83362218370884,834.3115942028985,125.76086956521739,191.54381815785706,145.22744800713832,75.81943881240375,153354925.0
13,20,4,smart,575,467,81.21739130434783,382.1070663811563,133.6680942184154,759.7894658775468,310.28803345693524,40.83868589814636,119596844.0
14,10,4,smart,564,396,70.2127659574468,587.5353535353536,127.88383838383838,381.0754462128851,219.03230043806246,57.47741099952728,601135142.0
15,15,8,smart,577,446,77.29636048526864,451.8856502242152,119.88340807174887,570.207269612229,254.5680672420727,44.644830188712326,358368805.0
16,5,4,basic,562,286,50.88967971530249,951.8041958041958,125.37762237762237,191.49874376819238,144.62252977562974,75.52139869423587,460669441.0
17,15,6,basic,532,402,75.56390977443608,613.6666666666666,127.80845771144278,569.1613444199315,234.84994828448453,41.26245581977023,8501172.0
18,15,8,smart,567,464,81.83421516754849,468.7866379310345,124.67025862068965,570.452156073485,267.6887896543775,46.92572143068457,738646825.0
19,20,4,basic,577,451,78.16291161178509,362.52993348115297,126.87583148558758,758.8525069653682,279.09214148965066,36.778180071610095,770142391.0
20,10,6,basic,509,316,62.082514734774065,514.4398734177215,121.08227848101266,380.1771314748769,176.896494381131,46.5300197554941,110158532.0
